[Gradient Check] Epoch 24, Batch 1
[GRAD] backbone_layers.8.m.0.0.attn.pe.bn.weight: mean=-0.000478, max=0.015648
[GRAD] backbone_layers.8.m.0.0.attn.pe.bn.bias: mean=-0.000000, max=0.000001
[GRAD] backbone_layers.8.m.0.0.mlp.0.conv.weight: mean=-0.000030, max=0.015198
[GRAD] backbone_layers.8.m.0.0.mlp.0.bn.weight: mean=-0.000081, max=0.003186
[GRAD] backbone_layers.8.m.0.0.mlp.0.bn.bias: mean=-0.000009, max=0.002142
[GRAD] backbone_layers.8.m.0.0.mlp.1.conv.weight: mean=0.000001, max=0.012693
[GRAD] backbone_layers.8.m.0.0.mlp.1.bn.weight: mean=-0.000493, max=0.007155
[GRAD] backbone_layers.8.m.0.0.mlp.1.bn.bias: mean=-0.000000, max=0.000001
[GRAD] backbone_layers.8.m.0.1.attn.qkv.conv.weight: mean=-0.000005, max=0.018373
[GRAD] backbone_layers.8.m.0.1.attn.qkv.bn.weight: mean=-0.000034, max=0.003332
[GRAD] backbone_layers.8.m.0.1.attn.qkv.bn.bias: mean=0.000119, max=0.006627
[GRAD] backbone_layers.8.m.0.1.attn.proj.conv.weight: mean=-0.000002, max=0.022557
[GRAD] backbone_layers.8.m.0.1.attn.proj.bn.weight: mean=-0.000203, max=0.007245
[GRAD] backbone_layers.8.m.0.1.attn.proj.bn.bias: mean=-0.000000, max=0.000001
[GRAD] backbone_layers.8.m.0.1.attn.pe.conv.weight: mean=0.000086, max=0.102148
[GRAD] backbone_layers.8.m.0.1.attn.pe.bn.weight: mean=-0.000315, max=0.007353
[GRAD] backbone_layers.8.m.0.1.attn.pe.bn.bias: mean=0.000000, max=0.000001
[GRAD] backbone_layers.8.m.0.1.mlp.0.conv.weight: mean=0.000008, max=0.011176
[GRAD] backbone_layers.8.m.0.1.mlp.0.bn.weight: mean=0.000016, max=0.002876
[GRAD] backbone_layers.8.m.0.1.mlp.0.bn.bias: mean=-0.000034, max=0.001460
[GRAD] backbone_layers.8.m.0.1.mlp.1.conv.weight: mean=0.000013, max=0.007684
[GRAD] backbone_layers.8.m.0.1.mlp.1.bn.weight: mean=-0.000314, max=0.004280
[GRAD] backbone_layers.8.m.0.1.mlp.1.bn.bias: mean=-0.000000, max=0.000001
[GRAD] backbone_layers.8.m.1.0.attn.qkv.conv.weight: mean=-0.000005, max=0.014763
[GRAD] backbone_layers.8.m.1.0.attn.qkv.bn.weight: mean=0.000042, max=0.004300
[GRAD] backbone_layers.8.m.1.0.attn.qkv.bn.bias: mean=-0.000063, max=0.006363
[GRAD] backbone_layers.8.m.1.0.attn.proj.conv.weight: mean=0.000001, max=0.026470
[GRAD] backbone_layers.8.m.1.0.attn.proj.bn.weight: mean=0.000140, max=0.006090
[GRAD] backbone_layers.8.m.1.0.attn.proj.bn.bias: mean=-0.000000, max=0.000000
[GRAD] backbone_layers.8.m.1.0.attn.pe.conv.weight: mean=-0.000017, max=0.076588
[GRAD] backbone_layers.8.m.1.0.attn.pe.bn.weight: mean=-0.000211, max=0.010370
[GRAD] backbone_layers.8.m.1.0.attn.pe.bn.bias: mean=-0.000000, max=0.000000
[GRAD] backbone_layers.8.m.1.0.mlp.0.conv.weight: mean=0.000010, max=0.004910
[GRAD] backbone_layers.8.m.1.0.mlp.0.bn.weight: mean=0.000028, max=0.001377
[GRAD] backbone_layers.8.m.1.0.mlp.0.bn.bias: mean=-0.000015, max=0.000648
[GRAD] backbone_layers.8.m.1.0.mlp.1.conv.weight: mean=0.000004, max=0.004601
[GRAD] backbone_layers.8.m.1.0.mlp.1.bn.weight: mean=-0.000177, max=0.002153
[GRAD] backbone_layers.8.m.1.0.mlp.1.bn.bias: mean=-0.000000, max=0.000000
[GRAD] backbone_layers.8.m.1.1.attn.qkv.conv.weight: mean=-0.000003, max=0.026472
[GRAD] backbone_layers.8.m.1.1.attn.qkv.bn.weight: mean=-0.000078, max=0.005367
[GRAD] backbone_layers.8.m.1.1.attn.qkv.bn.bias: mean=-0.000222, max=0.018236
[GRAD] backbone_layers.8.m.1.1.attn.proj.conv.weight: mean=0.000008, max=0.014226
[GRAD] backbone_layers.8.m.1.1.attn.proj.bn.weight: mean=0.000667, max=0.004016
[GRAD] backbone_layers.8.m.1.1.attn.proj.bn.bias: mean=-0.000000, max=0.000000
[GRAD] backbone_layers.8.m.1.1.attn.pe.conv.weight: mean=-0.000586, max=0.111997
[GRAD] backbone_layers.8.m.1.1.attn.pe.bn.weight: mean=0.000046, max=0.015960
[GRAD] backbone_layers.8.m.1.1.attn.pe.bn.bias: mean=0.000000, max=0.000000
[GRAD] backbone_layers.8.m.1.1.mlp.0.conv.weight: mean=0.000012, max=0.003939
[GRAD] backbone_layers.8.m.1.1.mlp.0.bn.weight: mean=0.000002, max=0.001247
[GRAD] backbone_layers.8.m.1.1.mlp.0.bn.bias: mean=0.000032, max=0.000675
[GRAD] backbone_layers.8.m.1.1.mlp.1.conv.weight: mean=0.000012, max=0.002245
[GRAD] backbone_layers.8.m.1.1.mlp.1.bn.weight: mean=-0.000104, max=0.001846
[GRAD] backbone_layers.8.m.1.1.mlp.1.bn.bias: mean=-0.000000, max=0.000000
[GRAD] seg_head_layers.2.cv1.conv.weight: mean=0.000071, max=0.025407
[GRAD] seg_head_layers.2.cv1.bn.weight: mean=-0.000612, max=0.028551
[GRAD] seg_head_layers.2.cv1.bn.bias: mean=-0.001336, max=0.015806
[GRAD] seg_head_layers.2.cv2.conv.weight: mean=0.000056, max=0.039719
[GRAD] seg_head_layers.2.cv2.bn.weight: mean=0.002726, max=0.041878
[GRAD] seg_head_layers.2.cv2.bn.bias: mean=0.001995, max=0.019314
[GRAD] seg_head_layers.2.m.0.cv1.conv.weight: mean=0.000384, max=0.020646
[GRAD] seg_head_layers.2.m.0.cv1.bn.weight: mean=-0.000415, max=0.009706
[GRAD] seg_head_layers.2.m.0.cv1.bn.bias: mean=-0.000101, max=0.005138
[GRAD] seg_head_layers.2.m.0.cv2.conv.weight: mean=-0.000021, max=0.020992
[GRAD] seg_head_layers.2.m.0.cv2.bn.weight: mean=-0.000252, max=0.006391
[GRAD] seg_head_layers.2.m.0.cv2.bn.bias: mean=-0.000107, max=0.003431
[GRAD] seg_head_layers.2.m.0.cv3.conv.weight: mean=-0.000155, max=0.033644
[GRAD] seg_head_layers.2.m.0.cv3.bn.weight: mean=0.001036, max=0.017801
[GRAD] seg_head_layers.2.m.0.cv3.bn.bias: mean=0.000685, max=0.006146
[GRAD] seg_head_layers.2.m.0.m.0.cv1.conv.weight: mean=-0.000028, max=0.006370
[GRAD] seg_head_layers.2.m.0.m.0.cv1.bn.weight: mean=-0.000071, max=0.007286
[GRAD] seg_head_layers.2.m.0.m.0.cv1.bn.bias: mean=0.000082, max=0.004059
[GRAD] seg_head_layers.2.m.0.m.0.cv2.conv.weight: mean=0.000061, max=0.009817
[GRAD] seg_head_layers.2.m.0.m.0.cv2.bn.weight: mean=-0.000403, max=0.007211
[GRAD] seg_head_layers.2.m.0.m.0.cv2.bn.bias: mean=-0.000026, max=0.005855
[GRAD] seg_head_layers.2.m.0.m.1.cv1.conv.weight: mean=0.000021, max=0.005967
[GRAD] seg_head_layers.2.m.0.m.1.cv1.bn.weight: mean=0.000165, max=0.004043
[GRAD] seg_head_layers.2.m.0.m.1.cv1.bn.bias: mean=-0.000197, max=0.004494
[GRAD] seg_head_layers.2.m.0.m.1.cv2.conv.weight: mean=0.000032, max=0.012510
[GRAD] seg_head_layers.2.m.0.m.1.cv2.bn.weight: mean=0.001018, max=0.010389
[GRAD] seg_head_layers.2.m.0.m.1.cv2.bn.bias: mean=0.000765, max=0.005141
[GRAD] seg_head_layers.5.cv1.conv.weight: mean=-0.000199, max=0.164078
[GRAD] seg_head_layers.5.cv1.bn.weight: mean=-0.008201, max=0.087353
[GRAD] seg_head_layers.5.cv1.bn.bias: mean=-0.004641, max=0.060437
[GRAD] seg_head_layers.5.cv2.conv.weight: mean=0.001419, max=0.546804
[GRAD] seg_head_layers.5.cv2.bn.weight: mean=0.001105, max=0.046697
[GRAD] seg_head_layers.5.cv2.bn.bias: mean=-0.001760, max=0.060306
[GRAD] seg_head_layers.5.m.0.cv1.conv.weight: mean=-0.001930, max=0.133082
[GRAD] seg_head_layers.5.m.0.cv1.bn.weight: mean=-0.004625, max=0.040532
[GRAD] seg_head_layers.5.m.0.cv1.bn.bias: mean=-0.002960, max=0.021660
[GRAD] seg_head_layers.5.m.0.cv2.conv.weight: mean=0.001653, max=0.068836
[GRAD] seg_head_layers.5.m.0.cv2.bn.weight: mean=0.000320, max=0.025309
[GRAD] seg_head_layers.5.m.0.cv2.bn.bias: mean=-0.001070, max=0.016652
[GRAD] seg_head_layers.5.m.0.cv3.conv.weight: mean=0.009269, max=0.484798
[GRAD] seg_head_layers.5.m.0.cv3.bn.weight: mean=0.010086, max=0.120455
[GRAD] seg_head_layers.5.m.0.cv3.bn.bias: mean=-0.002084, max=0.045237
[GRAD] seg_head_layers.5.m.0.m.0.cv1.conv.weight: mean=0.000078, max=0.064498
[GRAD] seg_head_layers.5.m.0.m.0.cv1.bn.weight: mean=0.000604, max=0.016514
[GRAD] seg_head_layers.5.m.0.m.0.cv1.bn.bias: mean=-0.001098, max=0.007912
[GRAD] seg_head_layers.5.m.0.m.0.cv2.conv.weight: mean=-0.000207, max=0.061263
[GRAD] seg_head_layers.5.m.0.m.0.cv2.bn.weight: mean=0.004742, max=0.040729
[GRAD] seg_head_layers.5.m.0.m.0.cv2.bn.bias: mean=0.002414, max=0.012873
[GRAD] seg_head_layers.5.m.0.m.1.cv1.conv.weight: mean=0.000423, max=0.071394
[GRAD] seg_head_layers.5.m.0.m.1.cv1.bn.weight: mean=0.001252, max=0.046465
[GRAD] seg_head_layers.5.m.0.m.1.cv1.bn.bias: mean=-0.003517, max=0.015294
[GRAD] seg_head_layers.5.m.0.m.1.cv2.conv.weight: mean=-0.001495, max=0.077479
[GRAD] seg_head_layers.5.m.0.m.1.cv2.bn.weight: mean=-0.000387, max=0.055503
[GRAD] seg_head_layers.5.m.0.m.1.cv2.bn.bias: mean=-0.001505, max=0.015614
[GRAD] seg_head_layers.6.conv.weight: mean=0.000010, max=0.003882
[GRAD] seg_head_layers.6.bn.weight: mean=0.000366, max=0.006147
[GRAD] seg_head_layers.6.bn.bias: mean=0.000123, max=0.002985
[GRAD] seg_head_layers.8.cv1.conv.weight: mean=0.000083, max=0.018820
[GRAD] seg_head_layers.8.cv1.bn.weight: mean=-0.000881, max=0.017200
[GRAD] seg_head_layers.8.cv1.bn.bias: mean=-0.000230, max=0.004162
[GRAD] seg_head_layers.8.cv2.conv.weight: mean=-0.000198, max=0.042179
[GRAD] seg_head_layers.8.cv2.bn.weight: mean=-0.000261, max=0.005383
[GRAD] seg_head_layers.8.cv2.bn.bias: mean=-0.000002, max=0.009337
[GRAD] seg_head_layers.8.m.0.cv1.conv.weight: mean=0.000011, max=0.008226
[GRAD] seg_head_layers.8.m.0.cv1.bn.weight: mean=-0.000658, max=0.004025
[GRAD] seg_head_layers.8.m.0.cv1.bn.bias: mean=-0.000095, max=0.001655
[GRAD] seg_head_layers.8.m.0.cv2.conv.weight: mean=-0.000159, max=0.014978
[GRAD] seg_head_layers.8.m.0.cv2.bn.weight: mean=-0.000824, max=0.009464
[GRAD] seg_head_layers.8.m.0.cv2.bn.bias: mean=-0.000218, max=0.002655
[GRAD] seg_head_layers.8.m.0.cv3.conv.weight: mean=0.000079, max=0.042507
[GRAD] seg_head_layers.8.m.0.cv3.bn.weight: mean=0.000770, max=0.009093
[GRAD] seg_head_layers.8.m.0.cv3.bn.bias: mean=0.000338, max=0.003974
[GRAD] seg_head_layers.8.m.0.m.0.cv1.conv.weight: mean=0.000021, max=0.003244
[GRAD] seg_head_layers.8.m.0.m.0.cv1.bn.weight: mean=-0.000054, max=0.001267
[GRAD] seg_head_layers.8.m.0.m.0.cv1.bn.bias: mean=-0.000024, max=0.000480
[GRAD] seg_head_layers.8.m.0.m.0.cv2.conv.weight: mean=0.000038, max=0.002365
[GRAD] seg_head_layers.8.m.0.m.0.cv2.bn.weight: mean=0.000303, max=0.003039
[GRAD] seg_head_layers.8.m.0.m.0.cv2.bn.bias: mean=0.000119, max=0.001892
[GRAD] seg_head_layers.8.m.0.m.1.cv1.conv.weight: mean=0.000061, max=0.002740
[GRAD] seg_head_layers.8.m.0.m.1.cv1.bn.weight: mean=0.000025, max=0.001983
[GRAD] seg_head_layers.8.m.0.m.1.cv1.bn.bias: mean=-0.000347, max=0.000787
[GRAD] seg_head_layers.8.m.0.m.1.cv2.conv.weight: mean=0.000083, max=0.002731
[GRAD] seg_head_layers.8.m.0.m.1.cv2.bn.weight: mean=0.000711, max=0.005115
[GRAD] seg_head_layers.8.m.0.m.1.cv2.bn.bias: mean=0.000029, max=0.001059
[GRAD] seg_head_layers.9.conv.weight: mean=-0.000005, max=0.002187
[GRAD] seg_head_layers.9.bn.weight: mean=0.000240, max=0.004126
[GRAD] seg_head_layers.9.bn.bias: mean=0.000087, max=0.001688
[GRAD] seg_head_layers.11.cv1.conv.weight: mean=0.000004, max=0.010590
[GRAD] seg_head_layers.11.cv1.bn.weight: mean=-0.000560, max=0.015058
[GRAD] seg_head_layers.11.cv1.bn.bias: mean=-0.000183, max=0.004948
[GRAD] seg_head_layers.11.cv2.conv.weight: mean=0.000014, max=0.055248
[GRAD] seg_head_layers.11.cv2.bn.weight: mean=-0.000072, max=0.005877
[GRAD] seg_head_layers.11.cv2.bn.bias: mean=-0.000077, max=0.020099
[GRAD] seg_head_layers.11.m.0.cv1.conv.weight: mean=0.000343, max=0.034706
[GRAD] seg_head_layers.11.m.0.cv1.bn.weight: mean=-0.000695, max=0.010909
[GRAD] seg_head_layers.11.m.0.cv1.bn.bias: mean=0.000692, max=0.010262
[GRAD] seg_head_layers.11.m.0.cv2.conv.weight: mean=0.000018, max=0.008234
[GRAD] seg_head_layers.11.m.0.cv2.bn.weight: mean=0.000138, max=0.002596
[GRAD] seg_head_layers.11.m.0.cv2.bn.bias: mean=0.000188, max=0.001690
[GRAD] seg_head_layers.11.m.0.cv3.conv.weight: mean=0.000232, max=0.041220
[GRAD] seg_head_layers.11.m.0.cv3.bn.weight: mean=0.000526, max=0.010255
[GRAD] seg_head_layers.11.m.0.cv3.bn.bias: mean=0.000256, max=0.004575
[GRAD] seg_head_layers.11.m.0.m.0.cv1.conv.weight: mean=0.000009, max=0.007874
[GRAD] seg_head_layers.11.m.0.m.0.cv1.bn.weight: mean=-0.000011, max=0.006165
[GRAD] seg_head_layers.11.m.0.m.0.cv1.bn.bias: mean=-0.000773, max=0.003332
[GRAD] seg_head_layers.11.m.0.m.0.cv2.conv.weight: mean=-0.000085, max=0.006249
[GRAD] seg_head_layers.11.m.0.m.0.cv2.bn.weight: mean=-0.000299, max=0.008680
[GRAD] seg_head_layers.11.m.0.m.0.cv2.bn.bias: mean=-0.000733, max=0.005536
[GRAD] seg_head_layers.11.m.0.m.1.cv1.conv.weight: mean=0.000090, max=0.008273
[GRAD] seg_head_layers.11.m.0.m.1.cv1.bn.weight: mean=-0.000086, max=0.003880
[GRAD] seg_head_layers.11.m.0.m.1.cv1.bn.bias: mean=-0.000242, max=0.003072
[GRAD] seg_head_layers.11.m.0.m.1.cv2.conv.weight: mean=0.000047, max=0.008659
[GRAD] seg_head_layers.11.m.0.m.1.cv2.bn.weight: mean=-0.000562, max=0.004643
[GRAD] seg_head_layers.11.m.0.m.1.cv2.bn.bias: mean=-0.000448, max=0.003770
[GRAD] seg_head_layers.12.cv2.0.0.conv.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.0.0.bn.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.0.0.bn.bias: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.0.1.conv.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.0.1.bn.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.0.1.bn.bias: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.0.2.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.0.2.bias: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv2.1.0.conv.weight: mean=0.000009, max=0.003900
[GRAD] seg_head_layers.12.cv2.1.0.bn.weight: mean=-0.000434, max=0.006867
[GRAD] seg_head_layers.12.cv2.1.0.bn.bias: mean=0.000825, max=0.003415
[GRAD] seg_head_layers.12.cv2.1.1.conv.weight: mean=0.000241, max=0.025617
[GRAD] seg_head_layers.12.cv2.1.1.bn.weight: mean=0.000896, max=0.079842
[GRAD] seg_head_layers.12.cv2.1.1.bn.bias: mean=0.001553, max=0.032374
[GRAD] seg_head_layers.12.cv2.1.2.weight: mean=-0.000000, max=0.633753
[GRAD] seg_head_layers.12.cv2.1.2.bias: mean=-0.000000, max=0.132630
[GRAD] seg_head_layers.12.cv2.2.0.conv.weight: mean=0.000032, max=0.006819
[GRAD] seg_head_layers.12.cv2.2.0.bn.weight: mean=0.000950, max=0.033359
